#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AggregatorHost","0","244","2203426594816","7847936","5750784","13808",,,,,,,,"Process","8",,,,,,"244","4112",".","0","",,,,,"13808","13808","5750784","5750784","138264","138264","7622656","7622656","25501696","25501696","120991744","2203439214592",,,"5750784","5750784",,"AggregatorHost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"108371968","2203426594816","False",,,,"7847936","7847936",,
"AppActions","11","365","2480972746752","27201536","13463552","20192","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe",,"2.0625",,,,,"Process","8",,"False",,"2532","Microsoft.Win32.SafeHandles.SafeProcessHandle","365","30920",".","0","","System.Diagnostics.ProcessModule (AppActions.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20192","20192","13463552","13463552","403752","403752","20652032","20652032","54206464","54206464","-1476280320","2481014816768","True","Normal","13463552","13463552","00:00:00.8593750","AppActions","4095","True","11","System.Diagnostics.ProcessStartInfo","1/8/2026 12:58:42 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.0625000","00:00:01.2031250","-1518350336","2480972746752","False",,,,"27201536","27201536",,
"ApplePhotoStreams","11","423","4595048448","17420288","9097216","28464","C:\Program Files\WindowsApps\AppleInc.iCloud_15.6.113.0_x64__nzyj5cx40ttqa\iCloud\ApplePhotoStreams.exe","Apple Inc.","0.640625","284.2.0.96","15.6.0.113","iCloud Photo Stream","iCloud for Windows","Process","8",,"False",,"2580","Microsoft.Win32.SafeHandles.SafeProcessHandle","423","31296",".","0","","System.Diagnostics.ProcessModule (ApplePhotoStreams.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28464","28464","9097216","9097216","485128","485128","9523200","9523200","43884544","43884544","301539328","4596506624","True","Normal","9097216","9097216","00:00:00.4062500","ApplePhotoStreams","4095","True","11","System.Diagnostics.ProcessStartInfo","1/8/2026 12:49:51 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.6406250","00:00:00.2343750","300081152","4595048448","False",,,,"17420288","17420288",,
"APSDaemon","11","517","4496363520","19591168","6221824","23192","C:\Program Files\WindowsApps\AppleInc.iCloud_15.6.113.0_x64__nzyj5cx40ttqa\iCloud\APSDaemon.exe","Apple Inc.","1.03125","2.37.0.60","","Apple Push","Apple Push","Process","8",,"False",,"2548","Microsoft.Win32.SafeHandles.SafeProcessHandle","517","20576",".","0","","System.Diagnostics.ProcessModule (APSDaemon.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23192","23192","6221824","6221824","313160","313160","10117120","10117120","29659136","29659136","205606912","4500574208","True","Normal","6221824","6221824","00:00:00.6093750","APSDaemon","4095","True","11","System.Diagnostics.ProcessStartInfo","1/8/2026 12:49:51 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0312500","00:00:00.4218750","201396224","4496363520","False",,,,"19591168","19591168",,
"audiodg","0","303","2203474178048","24465408","19107840","14344",,,"0.21875",,,,,"Process","8",,,,,,"303","20204",".","0","",,,,,"14344","14344","19107840","19107840","175168","175168","38047744","38047744","39043072","39043072","165580800","2203483803648",,,"19107840","19107840","00:00:00.1406250","audiodg",,"True","0","System.Diagnostics.ProcessStartInfo","1/8/2026 7:45:57 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00.0781250","155955200","2203474178048","False",,,,"24465408","24465408",,
"AutoModeDetect","11","198","4414533632","8491008","2859008","12992",,,"1.765625",,,,,"Process","8",,,,,,"198","9800",".","0","",,,,,"12992","12992","2859008","2859008","150400","150400","2998272","2998272","15179776","15179776","124239872","4419207168",,,"2859008","2859008","00:00:01.0781250","AutoModeDetect",,"True","11","System.Diagnostics.ProcessStartInfo","1/8/2026 12:48:40 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.7656250","00:00:00.6875000","119566336","4414533632","False",,,,"8491008","8491008",,
"backgroundTaskHost","11","348","2203910348800","14098432","8822784","27808","C:\WINDOWS\system32\backgroundTaskHost.exe","Microsoft Corporation","0.8125","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Background Task Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2624","Microsoft.Win32.SafeHandles.SafeProcessHandle","348","4556",".","0","","System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27808","27808","8822784","8822784","236904","236904","9515008","9515008","29503488","29503488","596475904","2203914698752","True","Normal","8822784","8822784","00:00:00.5625000","backgroundTaskHost","4095","True","11","System.Diagnostics.ProcessStartInfo","1/8/2026 12:48:49 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.8125000","00:00:00.2500000","592125952","2203910348800","False",,,,"14098432","14098432",,
"BatteryWidgetHost","11","773","56635564032","33140736","48300032","45352","C:\ProgramData\Lenovo\Vantage\Addins\BatteryWidgetAddin\3.0.0.187\BatteryWidgetHost\BatteryWidgetHost.exe","Lenovo","2.734375","3.0.0.187","3.0.0.187","BatteryWidgetHost","BatteryWidgetHost","Process","4",,"False",,"2660","Microsoft.Win32.SafeHandles.SafeProcessHandle","773","18476",".","0","","System.Diagnostics.ProcessModule (BatteryWidgetHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","45352","45352","48300032","48300032","666784","666784","54149120","54149120","69619712","69619712","812474368","56647049216","True","Idle","48300032","48300032","00:00:00.9531250","BatteryWidgetHost","4095","True","11","System.Diagnostics.ProcessStartInfo","1/8/2026 12:48:48 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.7343750","00:00:01.7812500","800989184","56635564032","False",,,,"33140736","33140736",,
"cmd","11","63","2203373592576","5427200","3035136","5312","C:\WINDOWS\system32\cmd.exe","Microsoft Corporation","0.03125","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Windows Command Processor","Microsoft? Windows? Operating System","Process","8",,"False",,"2692","Microsoft.Win32.SafeHandles.SafeProcessHandle","63","24456",".","0","","System.Diagnostics.ProcessModule (cmd.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5312","5312","3035136","3035136","56856","56856","3182592","3182592","5427200","5427200","55369728","2203373592576","True","Normal","3035136","3035136","00:00:00.0312500","cmd","4095","True","11","System.Diagnostics.ProcessStartInfo","1/8/2026 7:46:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00","55369728","2203373592576","False",,,,"5427200","5427200",,
"Code","11","339","3695548547072","155037696","121942016","30032","C:\Users\lawre\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","31.125","1.107.1","1.107.1","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"2732","Microsoft.Win32.SafeHandles.SafeProcessHandle","339","924",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30032","30032","121942016","121942016","620024","620024","227241984","227241984","254107648","254107648","1922744320","3695594618880","True","Normal","121942016","121942016","00:00:15.4375000","Code","4095","True","11","System.Diagnostics.ProcessStartInfo","1/8/2026 7:38:04 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:31.1250000","00:00:15.6875000","1876672512","3695548547072","False",,,,"155037696","155037696",,
